user_id,steam_id,playtime_forever,playtime_2weeks,id,]playtime_2weeks
76561197970982479,76561197970982479,6,0,10,0
evcentric,76561198007712555,923,0,1200,0
doctr,76561198002099482,1131,0,300,0
MinxIsBetterThanPotatoes,76561198004744620,256,0,50,0
NitemarePK,76561197990951820,3529,0,240,0
themanwich,76561198035296505,219,0,220,0
maplemage,76561198026584251,5751,0,240,0
corrupted_soul,76561198007659921,2644,0,4000,0
jorellpogi,76561198103696236,3519,0,240,0
76561198064823719,76561198064823719,2261,0,220,0
MeaTCompany,76561198071532177,3209,0,240,0
76561198089393905,76561198089393905,47269,745,4000,745
76561198156664158,76561198156664158,269,0,4000,0
76561198077246154,76561198077246154,4317,0,4000,0
WeiEDKrSat,76561198041660154,328,0,10,0
thequeenpanda,76561198010803705,57,0,300,0
death-hunter,76561198018556265,582,0,300,0
turneddreamsintoanempire,76561198122837537,972,0,15100,0
DJKamBer,76561198026039330,868,0,4000,0
Rainbow-Dashie,76561198087659130,253,0,4000,0
btuty8trgt,76561198054746068,230,0,4000,0
MarbleShrine,76561198062570934,92,0,3910,0
fdcfelipefdc,76561198076096109,860,0,4000,0
bbaekhyun,76561198066849709,186,0,4000,0
Moomfina,76561198056795460,425,0,300,0
PPanther,76561198026157558,12870,0,240,0
ABSOLUTLY_NOTHING,76561198053289985,5217,0,4000,0
devvonst,76561198062380099,5032,0,4000,0
Fr0stedLine,76561198037965617,580,0,10,0
76561198058373434,76561198058373434,260,0,220,0
76561198048353577,76561198048353577,84234,293,4000,293
76561198066046412,76561198066046412,37,0,4000,0
tru_mu_,76561198071250884,1730,0,4000,0
wirlom,76561198096285145,30,0,16730,0
76561198070565427,76561198070565427,4944,0,4000,0
SavageEeEe,76561198078235843,6702,0,4000,0
76561198076909484,76561198076909484,5577,0,12210,0
76561198066908262,76561198066908262,3,0,33910,0
KanadeTheNeko,76561198129159264,1406,0,220,0
Leaf_Light_Moscow,76561198305694024,4548,1729,4000,1729
erickoiv,76561198011733673,625,0,205790,0
GoAwayZach,76561198086431390,2583,0,220,0
76561198054540475,76561198054540475,89,0,220,0
76561198100701221,76561198100701221,13,0,10,0
76561198085547365,76561198085547365,11304,0,4000,0
76561198061252210,76561198061252210,1250,0,220,0
OfficialShroomsy,76561198059361962,2,0,240,0
76561198056147391,76561198056147391,1537,34,4000,34
8Bit-Ninja,76561198033538808,6296,0,4000,0
76561198071500702,76561198071500702,314,88,4000,88
76561198099905030,76561198099905030,875,0,220,0
76561198047407223,76561198047407223,3802,0,4000,0
latiano,76561198048020950,14577,0,4000,0
kongtape,76561198073719185,777,0,220,0
76561198100297613,76561198100297613,430,0,4000,0
VVillis,76561198092825399,81,0,240,0
76561198083226897,76561198083226897,12932,1740,105600,1740
76561198075277292,76561198075277292,600,0,620,0
76561198094630961,76561198094630961,30778,595,4000,595
12549,76561198091016962,468,0,240,0
76561198028895010,76561198028895010,198,0,3390,0
76561198092411867,76561198092411867,1919,0,4000,0
76561198170198366,76561198170198366,115,97,8190,97
diego9031,76561198082027703,21928,288,4000,288
iampiepiepie,76561198058169014,530,0,4000,0
76561198079863506,76561198079863506,384,0,4000,0
jarrodtrim,76561197999173629,337,0,10,0
76561198078738103,76561198078738103,303466,8117,4000,8117
76561198068964564,76561198068964564,176,0,12900,0
76561198067936203,76561198067936203,1828,0,4000,0
76561198079770573,76561198079770573,1696,0,4000,0
UpTheAss,76561198073052495,469,34,4000,34
76561198075491015,76561198075491015,7013,0,4000,0
76561198087586464,76561198087586464,13,0,240,0
76561198086878953,76561198086878953,1516,0,220,0
Derp-e,76561198045022050,174,0,4000,0
76561198070194565,76561198070194565,2267,0,320,0
Rivtex,76561198104187800,3,0,320,0
firefreddy,76561198059463642,93,0,220,0
UTNerd24,76561198053985682,5,0,10,0
sandwiches1,76561198052850911,374,0,2400,0
76561198093083895,76561198093083895,3123,0,620,0
76561198138053270,76561198138053270,102731,4238,4000,4238
76561198062422084,76561198062422084,1118,0,4000,0
Life-Of-Blu,76561198065991640,304,0,4000,0
CaptianAutismo,76561198100886422,3920,6,240,6
maxgp,76561198087444424,7648,0,4000,0
AppaTheSwagBison,76561198060827877,15589,0,4000,0
knightboy991,76561198037380683,9772,1,4000,1
76561198034678103,76561198034678103,2545,0,4000,0
76561198075895633,76561198075895633,442,0,240,0
TheDropix101,76561198066482493,3818,0,4000,0
kube134,76561198031442694,4,0,70,0
iamthekingofbrowntown,76561198101807736,904,0,220,0
gdxsd,76561198087667012,285,0,280,0
Posiblydead,76561198055519677,987,0,220,0
Mossy_Gaming,76561198095258412,708,0,620,0
76561198093817084,76561198093817084,8144,0,4000,0
76561198102421718,76561198102421718,59192,0,4000,0
76561198079045885,76561198079045885,2867,0,240,0
76561198087407319,76561198087407319,21,0,4000,0
76561198074466513,76561198074466513,36,0,12120,0
damo131,76561198048517110,415,0,4000,0
19702316748,76561198069523027,1545,0,4000,0
FrystHjarte,76561198056505985,15945,0,105600,0
76561198056741844,76561198056741844,12,0,17470,0
sad-commie,76561198040301510,10,0,240,0
76561198030567998,76561198030567998,21,0,70,0
Coldaniel,76561198126946946,7727,924,4000,924
therealmorty,76561198082552101,13940,0,240,0
itslonk,76561198027380739,8,0,70,0
DeDroidUreLookin4,76561198065666007,250,0,1250,0
Berserklejerker,76561198026747561,20913,0,4000,0
76561198088799241,76561198088799241,49,0,240,0
76561198061730629,76561198061730629,14,0,240,0
possessioniskey,76561198073017892,8531,489,4000,489
76561198072732874,76561198072732874,2967,0,4000,0
76561198093112529,76561198093112529,5080,0,4000,0
sevqu,76561198131248794,39,0,4000,0
whiteofwolfing,76561198136952974,36840,171,4000,171
76561198056857968,76561198056857968,451,0,70,0
sergarino,76561198084507508,37016,0,4000,0
PyroCreed,76561198061508205,124,0,320,0
76561198052897627,76561198052897627,277,0,17480,0
76561198081962345,76561198081962345,18539,156,4000,156
76561198039266268,76561198039266268,6,0,500,0
76561198094224872,76561198094224872,2150,0,240,0
76561198073210139,76561198073210139,2050,1,4000,1
Nozomikat,76561198076738682,9972,0,4000,0
